id,F1,F2,T1,A1,Fs
1,-2.93499,-0.64908,-2.51084,-2.22709,0
2,-2.68721,-0.13431,-2.36932,-2.01715,0.09568
3,-2.51034,0.30853,-2.31675,-2.14376,0.17469
4,-2.40051,0.69855,-2.29931,-2.42416,0.102
5,-2.30178,1.03759,-2.25878,-2.05994,0.15495
6,-2.21251,0.2996,-2.21152,-1.9246,0.14641
7,-2.16036,0.53352,-2.1955,-2.0205,0.20383
8,-2.08829,0.64387,-2.18379,-1.78103,0.2206
9,-1.96517,0.12225,-2.19107,-1.62478,0.14039
10,-1.89277,-1.44541,-2.14958,-2.08618,0.1743
11,-1.87352,-0.61286,-2.11702,-1.62074,0.09309
12,-1.85097,0.01116,-2.1057,-1.66392,0.17084
13,-1.80863,-0.95651,-2.07583,-1.62384,0.06695
14,-1.77135,-0.29374,-2.04229,-1.52503,0.12864
15,-1.7244,-0.61076,-2.02924,-1.58882,0.20536
16,-1.6957,-1.20354,-2.02979,-1.50372,0.2279
17,-1.70057,-0.38397,-2.01247,-1.60143,0.14318
18,-1.61171,0.69181,-1.98067,-1.52168,0.0967
19,-1.57214,1.15732,-1.95807,-1.44103,0.1887
20,-1.56117,0.96225,-1.92458,-1.21552,0.24677
21,-1.54088,0.07837,-1.87557,-1.0035,0.24014
22,-1.53277,-0.25289,-1.82262,-1.18052,0.28715
23,-1.48421,1.11278,-1.79182,-0.87425,0.28711
24,-1.51674,0.6589,-1.72258,-1.11163,0.30836
25,-1.44777,1.13163,-1.69512,-1.14328,0.22369
26,-1.44432,0.72519,-1.65654,-1.2442,0.20355
27,-1.42008,0.74228,-1.59198,-1.3509,0.26382
28,-1.41327,-0.20249,-1.59533,-0.93712,0.24858
29,-1.373,1.16623,-1.56836,-0.70557,0.27046
30,-1.35153,-1.10891,-1.5088,-1.2585,0.21776
31,-1.35152,-0.14256,-1.50634,-1.13206,0.28817
32,-1.06113,-2.9203,-1.52287,-0.83119,0.24949
33,-1.2724,-1.31196,-1.49369,-1.10736,0.25684
34,-1.24005,-1.0376,-1.49644,-0.7701,0.15371
35,-1.24782,-0.48642,-1.56991,-0.98354,0.18054
36,-1.19254,-0.37178,-1.42162,-0.90506,0.28029
37,-1.15801,-0.86681,-1.36065,-0.90481,0.27492
38,-1.14869,-0.39331,-1.40222,-0.81496,0.23986
39,-1.07304,0.79491,-1.20235,-0.78614,0.23181
40,-1.04507,0.94476,-1.15981,-0.77341,0.32575
41,-1.05062,0.72823,-1.12878,-0.23553,0.35496
42,-1.04065,0.98232,-1.10969,-0.81746,0.28714
43,-1.06116,0.75832,-1.08658,-0.82053,0.35089
44,-1.0152,0.76353,-1.0636,-0.69319,0.2119
45,-1.01676,0.5883,-1.0437,-0.83377,0.32247
46,-0.98428,0.56595,-0.99496,-0.92085,0.29039
47,-0.96515,0.40821,-0.96526,-0.77939,0.28751
48,-1.05164,-1.36074,-0.91704,-0.45591,0.23455
49,-0.98861,0.09011,-0.85692,-0.75336,0.22809
50,-0.8273,0.63747,-0.79388,-0.54416,0.32663
51,-0.85065,-1.04311,-0.69776,-0.796,0.3739
52,-0.8299,-1.57439,-0.66621,-0.77914,0.32946
53,-0.87289,0.82539,-0.65082,-0.77081,0.36428
54,-0.86673,0.401,-0.59977,-0.93466,0.4003
55,-0.8436,0.42379,-0.58615,-0.77722,0.38819
56,-0.85401,0.58734,-0.55267,-0.89025,0.26327
57,-0.81021,-0.45258,-0.51829,-0.74563,0.40561
58,-0.80432,0.68835,-0.47842,-0.7262,0.28947
59,-0.84359,-0.55614,-0.44694,-0.75759,0.22198
60,-0.68627,0.58471,-0.46385,-0.11395,0.40126
61,-0.65524,0.39474,-0.45176,-0.67791,0.42454
62,-0.67451,0.89767,-0.42117,-0.62054,0.50596
63,-0.60761,-0.96747,-0.39531,-0.67502,0.52692
64,-0.62989,-0.85309,-0.3397,-0.5412,0.55486
65,-0.61947,-0.70059,-0.2906,-0.19812,0.51028
66,-0.60309,0.37248,-0.28441,-0.40391,0.50995
67,-0.57838,-0.90173,-0.29131,0.05826,0.58402
68,-0.56762,-1.04189,-0.26858,-0.22487,0.65776
69,-0.51352,-0.77029,-0.20078,-0.3964,0.64159
70,-0.519,-0.84591,-0.16569,-0.29922,0.63429
71,-0.00281,-0.73714,0.1668,-0.17955,0.2697
72,-0.11255,0.60027,0.22232,-0.64565,0.3293
73,-0.1472,0.06501,0.2923,-0.15352,0.28462
74,-0.16663,0.62737,0.32719,-0.59998,0.35686
75,-0.12332,0.408,0.35026,-0.60561,0.37389
76,-0.13905,-0.16854,0.37757,-0.49273,0.40921
77,0.16222,-2.20831,0.38832,-0.3067,0.32399
78,-0.05689,-0.85178,0.39409,-0.29749,0.31772
79,0.12684,-0.81873,0.33307,-0.66339,0.40083
80,0.06446,-1.22991,0.41316,-0.75632,0.3002
81,0.02179,-0.63159,0.41083,-0.7303,0.32587
82,0.07553,-1.73463,0.41584,-0.68895,0.28369
83,0.08621,-1.94501,0.43768,-0.56266,0.38627
84,0.03569,0.035,0.41933,-0.73087,0.32123
85,0.07955,-0.50829,0.44373,-0.71763,0.37276
86,0.15867,-2.14553,0.51544,-0.55702,0.45247
87,0.08829,0.52723,0.46893,-0.57318,0.3809
88,0.16509,-1.6345,0.3632,-0.59471,0.38515
89,0.19331,1.30662,0.34623,-0.65639,0.47138
90,0.29133,-1.55772,0.40646,-0.71859,0.36766
91,0.22746,1.2017,0.39039,-0.62824,0.42888
92,0.14628,1.53991,0.44316,-0.44572,0.54181
93,0.10023,1.31871,0.47187,0.0365,0.44988
94,0.14374,1.56081,0.4939,-0.3576,0.57586
95,0.15915,0.27175,0.50701,-0.43637,0.53026
96,0.19699,-0.66631,0.47772,-0.55759,0.46846
97,0.24506,-1.82803,0.58319,-0.60022,0.34473
98,0.23018,1.30465,0.5387,-0.41795,0.40798
99,0.23051,0.46985,0.48366,-0.25036,0.34049
100,0.17279,1.14395,0.55213,-0.33542,0.30141
101,0.24861,-0.72621,0.53134,-0.08177,0.4582
102,0.2028,0.16508,0.40939,-0.26333,0.50674
103,0.2028,0.05865,0.47295,0.17526,0.49324
104,0.235,-0.38171,0.50073,0.15766,0.41909
105,0.31386,1.12525,0.49618,-0.45752,0.37729
106,0.25391,0.59812,0.54095,-0.38722,0.38662
107,0.38493,0.23098,0.56889,0.05075,0.45911
108,0.31108,-2.44093,0.60238,-0.06222,0.43106
109,0.32894,1.33181,0.5612,0.43304,0.50912
110,0.34164,-2.31896,0.62594,0.57935,0.42527
111,0.37854,0.76974,0.55868,-0.19088,0.37083
112,0.38756,0.09871,0.54401,-0.12927,0.504644
113,0.39093,-1.01763,0.47764,0.33333,0.55761
114,0.42343,0.1725,0.52668,-0.15904,0.58533
115,0.39315,0.44209,0.56917,0.02331,0.49255
116,0.48125,-0.5808,0.52683,-0.12471,0.38433
117,0.43413,0.94916,0.57143,-0.04085,0.38756
118,0.59698,0.76164,0.51482,-0.04854,0.44796
119,0.61762,-0.87779,0.53549,-0.57318,0.44034
120,0.51259,0.38729,0.52664,0.29936,0.46576
121,0.53035,0.77881,0.52111,0.38443,0.53318
122,0.54449,0.86419,0.57941,-0.0058,0.45886
123,0.52849,0.09572,0.58683,-0.04607,0.38613
124,0.67302,-0.08822,0.64402,-0.11925,0.44292
125,0.62967,1.03963,0.66464,-0.03796,0.51852
126,0.61263,0.96879,0.70949,0.16836,0.40521
127,0.65981,0.50623,0.66463,0.49765,0.48256
128,0.66547,-1.78705,0.65109,0.1513,0.41313
129,0.59488,1.05089,0.68307,0.09518,0.53014
130,0.62918,1.22506,0.67845,0.09113,0.57713
131,0.75029,0.0164,0.69875,0.17264,0.58727
132,0.78719,-1.71197,0.64793,0.28341,0.37307
133,0.69413,0.91931,0.66829,0.29529,0.47022
134,0.69396,0.91906,0.55225,0.44457,0.37712
135,0.76887,1.28171,0.65101,0.4382,0.51678
136,0.78981,2.80518,0.5681,-0.69067,0.56302
137,0.79204,0.52717,0.46625,0.24378,0.50911
138,0.70903,0.44941,0.63151,0.14063,0.42609
139,0.78452,-1.35277,0.4927,0.26104,0.34995
140,0.68601,1.24846,0.65545,0.36142,0.42724
141,0.77092,-0.25926,0.70873,0.33012,0.40653
142,0.65151,0.2016,0.68395,0.06162,0.51284
143,0.67544,0.98859,0.49957,0.13939,0.34411
144,0.77273,0.4428,0.64929,0.87162,0.35068
145,0.76094,-0.621,0.61522,0.97861,0.42758
146,0.63458,0.95499,0.718,0.67574,0.39514
147,0.73896,0.83236,0.65784,0.66901,0.39483
148,0.8036,0.29978,0.66124,0.55115,0.38049
149,0.8576,0.94875,0.59105,1.04547,0.50505
150,0.81441,0.75543,0.736,0.83282,0.60064
151,0.90906,0.88938,0.69315,0.90244,0.52157
152,0.82993,1.03897,0.72573,0.82029,0.56723
153,0.81753,1.24095,0.68545,0.99096,0.5357
154,0.83266,-0.02523,0.71129,0.84771,0.54585
155,0.72028,1.02091,0.69337,0.83263,0.49832
156,0.82002,0.68141,0.69125,0.86416,0.45674
157,0.90426,0.91382,0.69156,0.88868,0.41906
158,0.8408,0.79627,0.6746,0.9316,0.42222
159,0.76926,1.01731,0.75047,1.2814,0.52402
160,0.87044,-0.19557,0.68388,0.83238,0.51575
161,0.84031,-0.43258,0.63284,0.89641,0.51247
162,0.80893,-0.33373,0.66281,0.97428,0.39019
163,0.78586,0.04804,0.69628,0.71917,0.44943
164,0.77054,0.15255,0.68653,0.91996,0.5526
165,0.81159,-0.31447,0.70028,1.0935,0.60324
166,0.75049,0.32185,0.70202,0.80613,0.43762
167,0.84286,-1.19648,0.71017,1.06076,0.58249
168,0.80424,0.52652,0.72993,1.18776,0.47661
169,0.82735,-0.26416,0.83997,1.25504,0.52012
170,0.80897,-1.27804,0.51597,1.13115,0.45127
171,0.92434,-0.8397,0.69181,0.98374,0.41062
172,0.98908,1.47061,0.69085,1.00209,0.45833
173,0.912,0.91178,0.59123,0.95304,0.50726
174,0.83838,-0.20512,0.67286,0.93956,0.38646
175,0.94467,-0.08379,0.69442,1.21752,0.51879
176,0.80644,1.13493,0.7294,1.03172,0.48409
177,0.79256,1.13761,0.72185,1.14352,0.42671
178,0.87723,0.39448,0.69356,1.15935,0.40878
179,0.79328,0.39334,0.71107,0.94428,0.39921
180,0.8742,-1.16688,0.77534,1.29769,0.40364
181,0.78707,0.98917,0.74776,1.29002,0.35337
182,0.8556,0.11727,0.73088,0.99318,0.51358
183,0.85095,-0.17336,0.7277,1.16827,0.55961
184,0.82568,1.1253,0.74273,1.22231,0.45888
185,1.15502,1.19838,0.73941,1.28896,0.50973
186,1.07194,1.83935,0.77637,0.72767,0.55562
187,1.08517,-1.1629,0.82357,1.33472,0.52165
188,1.12384,-0.36898,0.84554,1.46691,0.39672
189,1.17496,-2.17532,0.89037,1.41936,0.4029
190,1.08193,0.71945,0.90718,1.11551,0.45008
191,1.18064,-0.63751,0.86559,1.20478,0.55899
192,1.10359,-1.82414,0.91005,1.14246,0.50345
193,1.04514,0.66218,0.85636,1.13906,0.50674
194,1.07012,-1.16783,0.84374,0.92965,0.54246
195,1.08648,-1.36921,0.71814,1.27939,0.58612
196,1.01899,0.72132,0.83422,1.48625,0.4923
197,0.62412,0.86726,0.68107,1.22369,0.62534
198,0.55944,-0.87318,0.73455,1.18613,0.78321
199,0.46681,0.89142,0.84158,0.98981,0.68937
200,0.5672,-1.59094,0.75838,1.1365,0.80697
201,0.48701,0.78124,0.74344,0.98355,0.78278
202,0.69785,-2.71821,0.80294,0.87984,0.64706
